param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,mse,rmse
0.0007597315636356,1.9157658185809852,1.1201476744376122,14375952987931.672,536442928593.60547,41320235819.55582,469.97630414552987,,,,0.0045848181818181,
0.000664979,1.896435955,1.144047169,75046100000000.0,9395790000000.0,20003584496.0,224.7346746,,,,0.001593909,0.039923791
0.000180946,1.86513195,0.842497909,51365200000000.0,6736360000000.0,21342732706.0,253.2847265,,,,0.001943,0.044079474
0.000254392,1.855071346,0.783433551,99877300000000.0,92777895909.0,40167017695.0,102.6062744,,,,0.001999364,0.044714244
6.46e-05,1.878864805,0.575100419,57755500000000.0,2951360000000.0,27554839169.0,745.2732227,,,,0.002104818,0.045878298
2.77e-05,1.807915676,0.541620215,83809000000000.0,9973600000000.0,32738769559.0,110.603724,,,,0.002155727,0.04642981
0.000346764,1.799740143,0.956222278,23318200000000.0,4341640000000.0,38856369807.0,165.5599889,,,,0.002288455,0.047837794
0.000155996,1.817037416,0.84895016,6810640000000.0,6177760000000.0,34797928062.0,548.4017244,,,,0.002395727,0.048946167
0.00048488,2.160249333,1.046716334,71880000000000.0,8472990000000.0,30149511398.0,593.1719356,,,,0.002484818,0.049847951
0.000713015,1.88920844,1.074069823,32127000000000.0,2806170000000.0,1870528695.0,284.7975137,,,,0.002559364,0.050590154
0.000118381,1.851977727,0.82516711,66891200000000.0,7459120000000.0,25634948242.0,559.054863,,,,0.002624818,0.051232979
0.000341969,1.948881669,0.956665334,70482100000000.0,8931510000000.0,39464989603.0,121.1499525,,,,0.002643,0.051410116
0.000902965,1.801990879,1.157300782,52654300000000.0,2631410000000.0,37770859533.0,144.6764295,,,,0.002708455,0.052042815
0.000885025,2.019234978,1.086883172,83812900000000.0,3405520000000.0,20002284660.0,270.3864524,,,,0.002759364,0.052529645
0.000115011,1.797656836,0.8143166,56624000000000.0,1827620000000.0,47293546226.0,189.2394964,,,,0.002763,0.052564246
0.000440322,1.996698678,1.000726317,88894500000000.0,8023000000000.0,34200671630.0,197.8348325,,,,0.002768455,0.052616105
0.000399867,1.858742164,1.084593924,44934800000000.0,6709550000000.0,32434780577.0,687.2429613,,,,0.002810273,0.053012006
0.000289108,1.781235451,1.008757098,19606100000000.0,2763930000000.0,33057875277.0,226.9490776,,,,0.002846636,0.053353879
0.000207255,1.845736987,0.932630976,73512600000000.0,4629510000000.0,4341908775.0,156.8939955,,,,0.002893909,0.053795066
0.000644467,1.85777193,1.11087355,34183000000000.0,9489720000000.0,2939216177.0,195.4723317,,,,0.002923,0.054064776
0.000539513,2.142348104,1.029197384,60183500000000.0,8210360000000.0,17952583422.0,220.6411889,,,,0.002948455,0.054299674
0.000398786,1.887530838,1.037840618,61564100000000.0,3135200000000.0,25106617475.0,294.2570989,,,,0.002968455,0.054483525
0.000678621,1.882566235,1.122986988,86777700000000.0,6823840000000.0,43404029086.0,633.3710972,,,,0.003055727,0.055278633
0.00066356,1.784325133,1.220276614,92954600000000.0,5953050000000.0,25971353699.0,493.6841267,,,,0.003090273,0.055590222
0.000352923,2.182677562,0.944006702,79572700000000.0,9001570000000.0,20816872589.0,260.4036128,,,,0.003153909,0.056159675
0.000450261,1.892413179,1.035975587,56582100000000.0,5110910000000.0,19289973252.0,307.9450689,,,,0.003161182,0.056224388
0.000644948,1.867120954,1.13816809,93081900000000.0,6859180000000.0,23472906707.0,218.8520802,,,,0.003199364,0.056562918
8.48e-05,1.854300166,0.662456621,32030000000000.0,5846450000000.0,16118864900.0,317.3162265,,,,0.003204818,0.056611114
0.000463191,1.796050232,1.175655203,87367100000000.0,3580280000000.0,21340846779.0,603.1329755,,,,0.003219364,0.056739436
0.000881884,1.952386451,1.125982683,70135700000000.0,3098280000000.0,39613139669.0,283.0313729,,,,0.003363,0.057991379
0.000388278,1.951803901,0.970562739,74161300000000.0,1412140000000.0,49372341569.0,227.801631,,,,0.003513909,0.059278235
0.00061451,1.896412861,0.982213026,34166700000000.0,955756000000.0,11451727104.0,141.0014647,,,,0.003517545,0.059308899
0.000514898,1.919671386,1.049421569,69688200000000.0,2493470000000.0,1746634532.0,441.748678,,,,0.003597545,0.059979542
0.000610028,1.791639491,1.230025447,36845800000000.0,7811850000000.0,39221868256.0,617.0388522,,,,0.003643,0.06035727
0.000153128,1.774027078,0.963677812,30670000000000.0,3380730000000.0,31815351128.0,532.1410056,,,,0.003684818,0.060702703
0.000134256,1.849239642,0.8187289,84476800000000.0,6868090000000.0,32586733278.0,592.7520951,,,,0.003732091,0.061090841
0.000619245,1.962821976,1.092739376,86865600000000.0,3104830000000.0,1975933819.0,545.4626021,,,,0.003768455,0.061387739
0.000353328,1.645670199,1.032349975,1283820000000.0,2691260000000.0,24152545231.0,123.9615857,,,,0.003846636,0.062021257
0.000558842,1.876052072,1.037381828,45743900000000.0,2038390000000.0,24891237071.0,640.9282935,,,,0.003855727,0.062094503
0.000334731,1.874392814,1.027543415,38921300000000.0,6977530000000.0,22497769432.0,295.8842808,,,,0.003892091,0.062386624
0.000635247,1.823004688,1.196391305,37189800000000.0,6267870000000.0,21193498030.0,349.4299315,,,,0.003908455,0.062517634
2.46e-05,1.690193946,1.035549928,19587200000000.0,969114000000.0,46540639920.0,110.5281754,,,,0.004092091,0.063969453
0.00090346,2.196472373,1.088999049,77426000000000.0,2302480000000.0,6091104449.0,503.3734337,,,,0.004148455,0.064408497
0.000719686,1.806537048,1.279057458,78656500000000.0,5622900000000.0,37322984246.0,514.0370653,,,,0.004155727,0.064464931
0.000691021,1.995814191,1.148688454,97390300000000.0,8538500000000.0,24091290407.0,521.37849,,,,0.004184818,0.064690171
0.000483719,1.921587773,1.040626059,63305300000000.0,1229370000000.0,43488303567.0,435.8146652,,,,0.004310273,0.065652667
0.000613044,1.902058145,1.129332368,93615800000000.0,9762660000000.0,11546130094.0,323.9010419,,,,0.004324818,0.06576335
0.000480382,1.791494116,1.149759311,78505600000000.0,9527700000000.0,40157053828.0,375.4171645,,,,0.004750273,0.068922222
0.000364211,2.051297489,1.045095331,68599300000000.0,8169180000000.0,37480873857.0,703.3296446,,,,0.004830273,0.069500164
0.000700114,1.763589395,1.23944589,13593900000000.0,8777890000000.0,21307686384.0,298.7665205,,,,0.005092091,0.071358888
,,,,,,0.003254688,,,,0.056625834,0.000454955
0.0006527292717512139,2.1504545324482023,1.415398596948944,1.0719965741357749,189.1194792697206,32415705773048.1,9412259667264.297,28179685027.16394,431.4543569460511,0.7593390042893589,0.0014211818181818173
